T_over_M,Re_psi4_22,Im_psi4_22
7.575000000000000000e+01,1.867971542272399681e-03,5.218627831642235967e-03
7.600000000000000000e+01,2.308314015465447611e-03,5.019013298443837472e-03
7.625000000000000000e+01,2.727672261229598712e-03,4.783807828620164834e-03
7.650000000000000000e+01,3.123418316821746556e-03,4.515164114895386070e-03
7.675000000000000000e+01,3.493134829959703997e-03,4.215389107096543381e-03
7.700000000000000000e+01,3.834617268600915615e-03,3.886925410940866681e-03
7.725000000000000000e+01,4.145874904845432002e-03,3.532334100766079763e-03
7.750000000000000000e+01,4.425130906808459261e-03,3.154278936266925043e-03
7.775000000000000000e+01,4.670821842005954024e-03,2.755511926139448536e-03
7.800000000000000000e+01,4.881596870192880626e-03,2.338860138207020378e-03
7.825000000000000000e+01,5.056316878877684107e-03,1.907213610338987951e-03
7.850000000000000000e+01,5.194053781714452409e-03,1.463514170261731541e-03
7.875000000000000000e+01,5.294090151733306902e-03,1.010744932567130125e-03
7.900000000000000000e+01,5.355919298700445239e-03,5.519202165949106415e-04
7.925000000000000000e+01,5.379245831084956443e-03,9.007562388215227317e-05
7.950000000000000000e+01,5.363986679028480420e-03,-3.717419737084460434e-04
7.975000000000000000e+01,5.310272502906857213e-03,-8.304847613267199143e-04
8.000000000000000000e+01,5.218449373467553762e-03,-1.283114824459586018e-03
8.025000000000000000e+01,5.089080579362308294e-03,-1.726615683975974954e-03
8.050000000000000000e+01,4.922948389815486221e-03,-2.158004673353878557e-03
8.075000000000000000e+01,4.721055570733157826e-03,-2.574346278291082379e-03
8.100000000000000000e+01,4.484626423374683639e-03,-2.972766519607795543e-03
8.125000000000000000e+01,4.215107091163717255e-03,-3.350468411438716539e-03
8.150000000000000000e+01,3.914164867992339820e-03,-3.704748471652329501e-03
8.175000000000000000e+01,3.583686243259294642e-03,-4.033014205891001860e-03
8.200000000000000000e+01,3.225773433779557334e-03,-4.332802435626479515e-03
8.225000000000000000e+01,2.842739176981679688e-03,-4.601798296683142289e-03
8.250000000000000000e+01,2.437099589652358487e-03,-4.837854697687624626e-03
8.275000000000000000e+01,2.011564929552119713e-03,-5.039011996411241201e-03
8.300000000000000000e+01,1.569028132885920456e-03,-5.203517624681967130e-03
8.325000000000000000e+01,1.112551039157678870e-03,-5.329845369124529275e-03
8.350000000000000000e+01,6.453482566212736171e-04,-5.416713996047090376e-03
8.375000000000000000e+01,1.707686661503045843e-04,-5.463104895386952826e-03
8.400000000000000000e+01,-3.077253917148625446e-04,-5.468278411788858248e-03
8.425000000000000000e+01,-7.865811532925370397e-04,-5.431788531425089592e-03
8.450000000000000000e+01,-1.262180549529515975e-03,-5.353495601673530224e-03
8.475000000000000000e+01,-1.730867214369237721e-03,-5.233576777583902849e-03
8.500000000000000000e+01,-2.188975147280551158e-03,-5.072533914029917455e-03
8.525000000000000000e+01,-2.632858752117103480e-03,-4.871198654642801100e-03
8.550000000000000000e+01,-3.058923938996328459e-03,-4.630734506396453481e-03
8.575000000000000000e+01,-3.463659947136418348e-03,-4.352635730138386914e-03
8.600000000000000000e+01,-3.843671524643683859e-03,-4.038722920864169438e-03
8.625000000000000000e+01,-4.195711085577709387e-03,-3.691135196265253951e-03
8.650000000000000000e+01,-4.516710454385362838e-03,-3.312318957863412579e-03
8.675000000000000000e+01,-4.803811802291484828e-03,-2.905013236026002688e-03
8.700000000000000000e+01,-5.054397379464663220e-03,-2.472231678391945998e-03
8.725000000000000000e+01,-5.266117651647380001e-03,-2.017241290336680825e-03
8.750000000000000000e+01,-5.436917461687496705e-03,-1.543538085037095536e-03
8.775000000000000000e+01,-5.565059855568205496e-03,-1.054819847947230035e-03
8.800000000000000000e+01,-5.649147238339521926e-03,-5.549562645165119967e-04
8.825000000000000000e+01,-5.688139556220888834e-03,-4.795669973734081014e-05
8.850000000000000000e+01,-5.681369235826785533e-03,4.620640467810930912e-04
8.875000000000000000e+01,-5.628552649702468248e-03,9.709216561186473924e-04
8.900000000000000000e+01,-5.529797919331092514e-03,1.474399496134871619e-03
8.925000000000000000e+01,-5.385608912084788834e-03,1.968286718515761726e-03
8.950000000000000000e+01,-5.196885335891429300e-03,2.448416832227281580e-03
8.975000000000000000e+01,-4.964918883163720563e-03,2.910706329543055054e-03
9.000000000000000000e+01,-4.691385423163029963e-03,3.351192936830053436e-03
9.025000000000000000e+01,-4.378333289790148353e-03,3.766073063838117074e-03
9.050000000000000000e+01,-4.028167760083597657e-03,4.151738032986219094e-03
9.075000000000000000e+01,-3.643631866566599768e-03,4.504808684446002381e-03
9.100000000000000000e+01,-3.227783732008372014e-03,4.822167973103455053e-03
9.125000000000000000e+01,-2.783970656297343922e-03,5.100991198215039032e-03
9.150000000000000000e+01,-2.315800221535090856e-03,5.338773534292943004e-03
9.175000000000000000e+01,-1.827108714189624354e-03,5.533354562084698107e-03
9.200000000000000000e+01,-1.321927193433447079e-03,5.682939532346326442e-03
9.225000000000000000e+01,-8.044455626129240087e-04,5.786117133560446033e-03
9.250000000000000000e+01,-2.789750245356473223e-04,5.841873577806118954e-03
9.275000000000000000e+01,2.500906812444888931e-04,5.849602864953767217e-03
9.300000000000000000e+01,7.783148508908763153e-04,5.809113131647440642e-03
9.325000000000000000e+01,1.301257786972704559e-03,5.720629036143268578e-03
9.350000000000000000e+01,1.814516757519067615e-03,5.584790172626362056e-03
9.375000000000000000e+01,2.313765538429260558e-03,5.402645550241580788e-03
9.400000000000000000e+01,2.794793141823114727e-03,5.175644214122136766e-03
9.425000000000000000e+01,3.253541344264211741e-03,4.905622128483080185e-03
9.450000000000000000e+01,3.686140645455192842e-03,4.594785484000492130e-03
9.475000000000000000e+01,4.088944310830557212e-03,4.245690630806066984e-03
9.500000000000000000e+01,4.458560179822547778e-03,3.861220872303080739e-03
9.525000000000000000e+01,4.791879953552461574e-03,3.444560382827052333e-03
9.550000000000000000e+01,5.086105709117606267e-03,2.999165534703845254e-03
9.575000000000000000e+01,5.338773421095377100e-03,2.528733939160497223e-03
9.600000000000000000e+01,5.547773304263074572e-03,2.037171522217236849e-03
9.625000000000000000e+01,5.711366825708396461e-03,1.528557971383237134e-03
9.650000000000000000e+01,5.828200270419719130e-03,1.007110900711710591e-03
9.675000000000000000e+01,5.897314782209919955e-03,4.771490889981311388e-04
9.700000000000000000e+01,5.918152840443124257e-03,-5.694485250528487331e-05
9.725000000000000000e+01,5.890561170896430575e-03,-5.907620306115717555e-04
9.750000000000000000e+01,5.814790124802349247e-03,-1.119904695643615536e-03
9.775000000000000000e+01,5.691489593014468357e-03,-1.640023210917786059e-03
9.800000000000000000e+01,5.521701552268643530e-03,-2.146852250215582937e-03
9.825000000000000000e+01,5.306849367830368362e-03,-2.636245923778414175e-03
9.850000000000000000e+01,5.048724001556571805e-03,-3.104211551394842495e-03
9.875000000000000000e+01,4.749467296711598271e-03,-3.546941820527888325e-03
9.900000000000000000e+01,4.411552531004438345e-03,-3.960845088216881013e-03
9.925000000000000000e+01,4.037762447392310994e-03,-4.342573607877244814e-03
9.950000000000000000e+01,3.631164987970722253e-03,-4.689049486185219509e-03
9.975000000000000000e+01,3.195086969166452146e-03,-4.997488200641607946e-03
1.000000000000000000e+02,2.733085945983295718e-03,-5.265419534395556801e-03
1.002500000000000000e+02,2.248920519275734563e-03,-5.490705810633527556e-03
1.005000000000000000e+02,1.746519343477973257e-03,-5.671557333784617815e-03
1.007500000000000000e+02,1.229949093488498556e-03,-5.806544968844474554e-03
1.010000000000000000e+02,7.033816487520493620e-04,-5.894609813236206981e-03
1.012500000000000000e+02,1.710607499929997575e-04,-5.935069937548797560e-03
1.015000000000000000e+02,-3.627316203096552383e-04,-5.927624191845050523e-03
1.017500000000000000e+02,-8.937088882280553453e-04,-5.872353092922249183e-03
1.020000000000000000e+02,-1.417613330198874829e-03,-5.769716825401233727e-03
1.022500000000000000e+02,-1.930249073599514921e-03,-5.620550406568817006e-03
1.025000000000000000e+02,-2.427514430528967485e-03,-5.426056081920071703e-03
1.027500000000000000e+02,-2.905433347692146142e-03,-5.187793034990532612e-03
1.030000000000000000e+02,-3.360185765282205136e-03,-4.907664510416200575e-03
